Country,Code,Year,GDP,GDP_growth,CPI,CPI_growth,unemployment_rate,annual_tests_per_thousand,cumulative_tests,annual_vaccinations_per_million,avg_workplace_closure,covid_deaths_per_million
Nepal,NPL,2023,41047772331.0994,-0.3282118052579757,7.11475951738199,-7.006232385598761,NA,NA,NA,76386.05022800001,NA,0.40383053
Nepal,NPL,2024,42914268286.7109,4.547130939423393,NA,NA,NA,NA,NA,NA,NA,0
Nauru,NRU,2019,124871111.377973,-4.633106800700866,NA,NA,NA,NA,NA,NA,NA,NA
Nauru,NRU,2020,124530027.301054,-0.27314890782590634,NA,NA,NA,NA,NA,NA,NA,0
Nauru,NRU,2021,175513984.500084,40.9410953358062,NA,NA,5.056,NA,NA,1304678.09696,NA,0
Nauru,NRU,2022,152190818.868952,-13.28849418897492,NA,NA,NA,NA,NA,1190591.98778,NA,84.58806
Nauru,NRU,2023,151455967.735319,-0.4828485312676981,NA,NA,NA,NA,NA,239152.5966,NA,0
Nauru,NRU,2024,160350639.549467,5.872777380216629,NA,NA,NA,NA,NA,NA,NA,0
New Zealand,NZL,2019,213006341101.869,0.4814995823136806,1.61963190184049,1.3348497379436182,4.112,NA,NA,NA,NA,NA
New Zealand,NZL,2020,213029554653.687,0.01089805669537412,1.71456170007245,5.8611958756854055,4.603,274.06,274.06,NA,0.639,4.87165045
New Zealand,NZL,2021,253977931814.967,19.221923093182077,3.94112060778727,129.8616962936204,3.797,813.161,1087.221,1585458.34377866,1.025,5.06651649
New Zealand,NZL,2022,249509991440.438,-1.7591844860694803,7.17222476016446,81.98440174585988,3.316,328.869,1416.09,744075.439992,0.279,444.29453081
New Zealand,NZL,2023,255194972673.122,2.2784583494489508,5.73316283034953,-20.06437302143237,3.768,NA,NA,181348.579049,NA,251.7669001
New Zealand,NZL,2024,260235932558.996,1.9753366741792888,2.92279782301955,-49.01945209811253,4.763,NA,NA,96153.8333,NA,173.04102839
OECD members,OED,2019,54181531589081.8,1.021321767740361,1.74071267870184,-9.922825732184338,NA,NA,NA,NA,NA,NA
OECD members,OED,2020,52999808975237.4,-2.1810432063949428,0.732851645175847,-57.89933317873109,NA,NA,NA,NA,NA,NA
OECD members,OED,2021,59193139223744.6,11.685570888379718,2.81528854435833,284.155314774903,NA,NA,NA,NA,NA,NA
OECD members,OED,2022,60744315658542.2,2.620534161795842,8.23803240697185,192.6176936101408,NA,NA,NA,NA,NA,NA
OECD members,OED,2023,64803502836722.8,6.682414863307079,5.67767862615429,-31.079675999462346,NA,NA,NA,NA,NA,NA
OECD members,OED,2024,67687054565878.2,4.44968497524081,2.76589367979524,-51.28477918679442,NA,NA,NA,NA,NA,NA
